*(-1,-1,-11):plasma_rifle
(-1, -1, -8):BRICK
(-2, -1, -8):BRICK
(-3, -1, -8):BRICK
(-4, -1, -8):BRICK
(-5, -1, -8):BRICK
(-6, -1, -8):BRICK
(-7, -1, -8):BRICK
(4, -1, -8):BRICK
(5, -1, -8):BRICK
(6, -1, -8):BRICK
(5, 0, -8):BRICK
(5, 1, -8):BRICK
(4, 0, -8):BRICK
(3, 0, -8):BRICK
(0, 0, -8):BRICK
(-1, 0, -8):BRICK
(-4, 0, -8):BRICK
(-5, 0, -8):BRICK
(-6, 0, -8):BRICK
(4, 1, -8):BRICK
(3, 1, -8):BRICK
(2, 1, -8):BRICK
(1, 1, -8):BRICK
(0, 1, -8):BRICK
(-1, 1, -8):BRICK
(-3, 1, -8):BRICK
(-4, 1, -8):BRICK
(-5, 1, -8):BRICK
(-6, 1, -8):BRICK
(-7, 1, -8):BRICK
(6, 1, -8):BRICK
(3, 0, -2):BRICK
(3, 0, 0):BRICK
(3, 1, -1):BRICK
(-2, 1, -8):BRICK
(1, 1, -4):BRICK
(6, -1, -9):BRICK
(6, 0, -9):BRICK
(6, 1, -9):BRICK
(6, -1, -10):BRICK
(6, 0, -10):BRICK
(6, 1, -10):BRICK
(-7, -1, -9):BRICK
(-7, 0, -9):BRICK
(-7, 1, -9):BRICK
(-7, -1, -10):BRICK
(-7, 1, -10):BRICK
(-7, -1, -11):BRICK
(-7, 1, -11):BRICK
(-7, -1, -12):BRICK
(-7, 0, -12):BRICK
(-7, 1, -12):BRICK
(6, -1, -11):BRICK
(6, 0, -11):BRICK
(6, 1, -11):BRICK
(6, -1, -12):BRICK
(6, 0, -12):BRICK
(6, 1, -12):BRICK
(6, -1, -13):BRICK
(6, 0, -13):BRICK
(6, 1, -13):BRICK
(1, -1, -12):BRICK
(1, 1, -12):BRICK
(0, -1, -12):BRICK
(0, 1, -12):BRICK
(-1, -1, -12):BRICK
(-1, 1, -12):BRICK
(-2, -1, -12):BRICK
(-2, 1, -12):BRICK
(2, -1, -13):BRICK
(2, 0, -13):BRICK
(2, 1, -13):BRICK
(-3, -1, -13):BRICK
(-3, 0, -13):BRICK
(-3, 1, -13):BRICK
(6, -1, -18):BRICK
(6, 0, -18):BRICK
(6, 1, -18):BRICK
(6, -1, -19):BRICK
(6, 0, -19):BRICK
(6, 1, -19):BRICK
(6, -1, -20):BRICK
(6, 0, -20):BRICK
(6, 1, -20):BRICK
(6, -1, -21):BRICK
(6, 0, -21):BRICK
(6, 1, -21):BRICK
(6, -1, -22):BRICK
(6, 0, -22):BRICK
(6, 1, -22):BRICK
(6, -1, -23):BRICK
(6, 0, -23):BRICK
(6, 1, -23):BRICK
(6, -1, -24):BRICK
(6, 0, -24):BRICK
(6, 1, -24):BRICK
(6, -1, -26):BRICK
(6, 0, -26):BRICK
(6, 1, -26):BRICK
(5, -1, -27):BRICK
(5, 0, -27):BRICK
(5, 1, -27):BRICK
(1, -1, -31):BRICK
(1, 0, -31):BRICK
(1, 1, -31):BRICK
(0, -1, -32):BRICK
(0, 0, -32):BRICK
(0, 1, -32):BRICK
(-6, -1, -27):BRICK
(-6, 0, -27):BRICK
(-6, 1, -27):BRICK
(-7, -1, -26):BRICK
(-7, 0, -26):BRICK
(-7, 1, -26):BRICK
(-7, -1, -25):BRICK
(-7, 0, -25):BRICK
(-7, 1, -25):BRICK
(-7, -1, -24):BRICK
(-7, 0, -24):BRICK
(-7, 1, -24):BRICK
(-7, -1, -23):BRICK
(-7, 0, -23):BRICK
(-7, 1, -23):BRICK
(-7, -1, -22):BRICK
(-7, 0, -22):BRICK
(-7, 1, -22):BRICK
(-7, -1, -21):BRICK
(-7, 1, -21):BRICK
(-7, -1, -20):BRICK
(-7, 1, -20):BRICK
(-7, -1, -19):BRICK
(-7, -1, -18):BRICK
(-7, 0, -18):BRICK
(-7, 1, -18):BRICK
(-7, -1, -17):BRICK
(-7, 0, -17):BRICK
(-7, 1, -17):BRICK
(-2, -1, -31):BRICK
(-2, 0, -31):BRICK
(-2, 1, -31):BRICK
(-1, -1, -32):BRICK
(-1, 0, -32):BRICK
(-1, 1, -32):BRICK
(-3, -1, -23):BRICK
(-3, 0, -23):BRICK
(-3, 1, -23):BRICK
(2, -1, -23):BRICK
(2, 0, -23):BRICK
(2, 1, -23):BRICK
(-11, -1, -31):BRICK
(-11, 0, -31):BRICK
(-11, 1, -31):BRICK
(-10, -1, -32):BRICK
(-10, 0, -32):BRICK
(-10, 1, -32):BRICK
(-9, 1, -33):BRICK
(-8, -1, -34):BRICK
(-8, 0, -34):BRICK
(-8, 1, -34):BRICK
(-3, -1, -37):BRICK
(-3, 0, -37):BRICK
(-3, 1, -37):BRICK
(-4, -1, -37):BRICK
(-4, 0, -37):BRICK
(-4, 1, -37):BRICK
(-7, -1, -35):BRICK
(-7, 0, -35):BRICK
(-7, 1, -35):BRICK
(-6, -1, -36):BRICK
(-6, 0, -36):BRICK
(-6, 1, -36):BRICK
(-5, -1, -37):BRICK
(-5, 0, -37):BRICK
(-5, 1, -37):BRICK
(-11, -1, -30):BRICK
(-11, 0, -30):BRICK
(-11, 1, -30):BRICK
(-11, -1, -29):BRICK
(-11, 0, -29):BRICK
(-11, 1, -29):BRICK
(-11, -1, -28):BRICK
(-11, 0, -28):BRICK
(-11, 1, -28):BRICK
(-11, -1, -27):BRICK
(-11, 0, -27):BRICK
(-11, 1, -27):BRICK
(-11, -1, -26):BRICK
(-11, 0, -26):BRICK
(-11, 1, -26):BRICK
(-11, -1, -25):BRICK
(-11, 0, -25):BRICK
(-11, 1, -25):BRICK
(-11, -1, -24):BRICK
(-11, 0, -24):BRICK
(-11, 1, -24):BRICK
(-11, -1, -23):BRICK
(-11, 0, -23):BRICK
(-11, 1, -23):BRICK
(-11, -1, -22):BRICK
(-11, 0, -22):BRICK
(-11, 1, -22):BRICK
(-11, -1, -21):BRICK
(-11, 0, -21):BRICK
(-11, -1, -20):BRICK
(-11, 0, -20):BRICK
(-11, -1, -19):BRICK
(-11, 0, -19):BRICK
(-11, -1, -12):BRICK
(-11, 0, -12):BRICK
(-11, -1, -11):BRICK
(-11, 0, -11):BRICK
(-11, -1, -10):BRICK
(-11, 0, -10):BRICK
(-11, -1, -9):BRICK
(-11, 0, -9):BRICK
(-11, 1, -9):BRICK
(-11, -1, -8):BRICK
(-11, 0, -8):BRICK
(-11, 1, -8):BRICK
(-11, -1, -7):BRICK
(-11, 0, -7):BRICK
(-11, 1, -7):BRICK
(-11, -1, -6):BRICK
(-11, 0, -6):BRICK
(-11, 1, -6):BRICK
(-11, -1, -5):BRICK
(-11, 0, -5):BRICK
(-11, 1, -5):BRICK
(-11, -1, -4):BRICK
(-11, 0, -4):BRICK
(-11, 1, -4):BRICK
(-5, -1, -3):BRICK
(-5, 0, -3):BRICK
(-5, 1, -3):BRICK
(-6, -1, -3):BRICK
(-6, 0, -3):BRICK
(-6, 1, -3):BRICK
(-7, -1, -3):BRICK
(-7, 0, -3):BRICK
(-7, 1, -3):BRICK
(-8, -1, -3):BRICK
(-8, 0, -3):BRICK
(-8, 1, -3):BRICK
(-9, 1, -3):BRICK
(-10, -1, -3):BRICK
(-10, 0, -3):BRICK
(-10, 1, -3):BRICK
(10, -1, -26):BRICK
(10, 0, -26):BRICK
(10, 1, -26):BRICK
(9, -1, -32):BRICK
(9, 0, -32):BRICK
(9, 1, -32):BRICK
(10, -1, -28):BRICK
(10, 0, -28):BRICK
(10, 1, -28):BRICK
(10, -1, -29):BRICK
(10, 0, -29):BRICK
(10, 1, -29):BRICK
(10, -1, -31):BRICK
(10, 0, -31):BRICK
(10, 1, -31):BRICK
(10, -1, -30):BRICK
(10, 0, -30):BRICK
(10, 1, -30):BRICK
(10, -1, -27):BRICK
(10, 0, -27):BRICK
(10, 1, -27):BRICK
(8, -1, -33):BRICK
(8, 0, -33):BRICK
(8, 1, -33):BRICK
(7, -1, -34):BRICK
(7, 0, -34):BRICK
(7, 1, -34):BRICK
(6, 1, -35):BRICK
(5, -1, -36):BRICK
(5, 0, -36):BRICK
(5, 1, -36):BRICK
(4, -1, -37):BRICK
(4, 0, -37):BRICK
(4, 1, -37):BRICK
(2, -1, -37):BRICK
(2, 0, -37):BRICK
(2, 1, -37):BRICK
(3, -1, -37):BRICK
(3, 0, -37):BRICK
(3, 1, -37):BRICK
(4, -1, -3):BRICK
(4, 0, -3):BRICK
(4, 1, -3):BRICK
(5, -1, -3):BRICK
(5, 0, -3):BRICK
(5, 1, -3):BRICK
(6, -1, -3):BRICK
(6, 0, -3):BRICK
(6, 1, -3):BRICK
(7, -1, -3):BRICK
(7, 0, -3):BRICK
(7, 1, -3):BRICK
(8, -1, -3):BRICK
(8, 0, -3):BRICK
(8, 1, -3):BRICK
(9, -1, -3):BRICK
(9, 0, -3):BRICK
(9, 1, -3):BRICK
(10, -1, -25):BRICK
(10, 0, -25):BRICK
(10, 1, -25):BRICK
(10, -1, -24):BRICK
(10, 0, -24):BRICK
(10, 1, -24):BRICK
(10, -1, -23):BRICK
(10, 0, -23):BRICK
(10, 1, -23):BRICK
(10, -1, -17):BRICK
(10, 0, -17):BRICK
(10, 1, -17):BRICK
(10, -1, -14):BRICK
(10, 0, -14):BRICK
(10, 1, -14):BRICK
(10, -1, -11):BRICK
(10, 0, -11):BRICK
(10, 1, -11):BRICK
(10, -1, -10):BRICK
(10, 0, -10):BRICK
(10, 1, -10):BRICK
(10, -1, -9):BRICK
(10, 0, -9):BRICK
(10, 1, -9):BRICK
(10, -1, -8):BRICK
(10, 0, -8):BRICK
(10, 1, -8):BRICK
(10, -1, -7):BRICK
(10, 0, -7):BRICK
(10, 1, -7):BRICK
(10, -1, -6):BRICK
(10, 0, -6):BRICK
(10, 1, -6):BRICK
(10, 1, -5):BRICK
(10, -1, -4):BRICK
(10, 0, -4):BRICK
(10, 1, -4):BRICK
(4, -1, -28):BRICK
(2, -1, -30):BRICK
(-5, -1, -28):BRICK
(-3, -1, -30):BRICK
(6, -1, -25):BRICK
(6, 0, -25):BRICK
(6, 1, -25):BRICK
(1, -1, -37):BRICK
(1, 0, -37):BRICK
(1, 1, -37):BRICK
(-2, -1, -37):BRICK
(-2, 0, -37):BRICK
(-2, 1, -37):BRICK
(2, -1, -38):BRICK
(2, 0, -38):BRICK
(2, 1, -38):BRICK
(2, -1, -39):BRICK
(2, 0, -39):BRICK
(2, 1, -39):BRICK
(2, -1, -40):BRICK
(2, 0, -40):BRICK
(2, 1, -40):BRICK
(2, -1, -41):BRICK
(2, 0, -41):BRICK
(2, 1, -41):BRICK
(2, -1, -42):BRICK
(2, 0, -42):BRICK
(2, 1, -42):BRICK
(1, -1, -43):BRICK
(1, 0, -43):BRICK
(1, 1, -43):BRICK
(-3, -1, -38):BRICK
(-3, 0, -38):BRICK
(-3, 1, -38):BRICK
(-3, -1, -39):BRICK
(-3, 0, -39):BRICK
(-3, 1, -39):BRICK
(-3, -1, -40):BRICK
(-3, 0, -40):BRICK
(-3, 1, -40):BRICK
(-3, -1, -41):BRICK
(-3, 0, -41):BRICK
(-3, 1, -41):BRICK
(-3, -1, -42):BRICK
(-3, 0, -42):BRICK
(-3, 1, -42):BRICK
(-2, -1, -43):BRICK
(-2, 0, -43):BRICK
(-2, 1, -43):BRICK
(-1, -1, -43):BRICK
(-1, 0, -43):BRICK
(-1, 1, -43):BRICK
(0, -1, -43):BRICK
(0, 0, -43):BRICK
(0, 1, -43):BRICK
(0, -1, -20):BRICK
(-1, -1, -20):BRICK
(11, -1, -23):BRICK
(11, 0, -23):BRICK
(11, 1, -23):BRICK
(12, -1, -23):BRICK
(12, 0, -23):BRICK
(12, 1, -23):BRICK
(10, -1, -20):BRICK
(10, 0, -20):BRICK
(10, 1, -20):BRICK
(11, -1, -11):BRICK
(11, 0, -11):BRICK
(11, 1, -11):BRICK
(12, -1, -11):BRICK
(12, 0, -11):BRICK
(12, 1, -11):BRICK
(13, -1, -11):BRICK
(13, 0, -11):BRICK
(13, 1, -11):BRICK
(14, -1, -11):BRICK
(14, 0, -11):BRICK
(14, 1, -11):BRICK
(15, -1, -12):BRICK
(15, 0, -12):BRICK
(15, 1, -12):BRICK
(15, -1, -13):BRICK
(15, 0, -13):BRICK
(15, 1, -13):BRICK
(15, 1, -14):BRICK
(15, 1, -15):BRICK
(15, -1, -16):BRICK
(15, 0, -16):BRICK
(15, 1, -16):BRICK
(15, -1, -17):BRICK
(15, 0, -17):BRICK
(15, 1, -17):BRICK
(15, -1, -22):BRICK
(15, -1, -18):BRICK
(15, 0, -18):BRICK
(15, 1, -18):BRICK
(15, -1, -19):BRICK
(15, -1, -20):BRICK
(15, -1, -21):BRICK
(13, -1, -23):BRICK
(13, 0, -23):BRICK
(13, 1, -23):BRICK
(14, -1, -23):BRICK
(14, 0, -23):BRICK
(14, 1, -23):BRICK
(15, -1, -23):BRICK
(15, 0, -23):BRICK
(15, 1, -23):BRICK
(16, -1, -22):BRICK
(16, -1, -21):BRICK
(16, -1, -20):BRICK
(16, -1, -19):BRICK
(16, -1, -23):BRICK
(16, 0, -23):BRICK
(16, 1, -23):BRICK
(17, -1, -22):BRICK
(17, 0, -22):BRICK
(17, -1, -21):BRICK
(17, 0, -21):BRICK
(17, -1, -20):BRICK
(17, 0, -20):BRICK
(17, -1, -19):BRICK
(17, 0, -19):BRICK
(16, -1, -18):BRICK
(16, 0, -18):BRICK
(17, -1, -18):BRICK
(17, 0, -18):BRICK
(12, 2, -23):BRICK
(12, 3, -23):BRICK
(12, 4, -23):BRICK
(13, 2, -23):BRICK
(13, 3, -23):BRICK
(13, 4, -23):BRICK
(14, 2, -23):BRICK
(14, 3, -23):BRICK
(14, 4, -23):BRICK
(15, 2, -23):BRICK
(15, 3, -23):BRICK
(15, 4, -23):BRICK
(16, 2, -23):BRICK
(16, 3, -23):BRICK
(16, 4, -23):BRICK
(18, -1, -22):BRICK
(18, 0, -22):BRICK
(18, -1, -21):BRICK
(18, 0, -21):BRICK
(18, -1, -20):BRICK
(18, 0, -20):BRICK
(18, -1, -19):BRICK
(18, 0, -19):BRICK
(18, -1, -18):BRICK
(18, 0, -18):BRICK
(19, -1, -22):BRICK
(19, 0, -22):BRICK
(19, 1, -22):BRICK
(19, -1, -21):BRICK
(19, 0, -21):BRICK
(19, 1, -21):BRICK
(19, -1, -20):BRICK
(19, 0, -20):BRICK
(19, 1, -20):BRICK
(19, -1, -19):BRICK
(19, 0, -19):BRICK
(19, 1, -19):BRICK
(19, -1, -18):BRICK
(19, 0, -18):BRICK
(19, 1, -18):BRICK
(19, 2, -18):BRICK
(19, 3, -18):BRICK
(19, 4, -18):BRICK
(19, 2, -19):BRICK
(19, 3, -19):BRICK
(19, 4, -19):BRICK
(19, 2, -20):BRICK
(19, 3, -20):BRICK
(19, 4, -20):BRICK
(19, 2, -22):BRICK
(19, 3, -22):BRICK
(19, 4, -22):BRICK
(19, 2, -21):BRICK
(19, 3, -21):BRICK
(19, 4, -21):BRICK
(18, 0, -23):BRICK
(18, 1, -23):BRICK
(18, 2, -23):BRICK
(17, 0, -23):BRICK
(17, 1, -23):BRICK
(17, 2, -23):BRICK
(17, 3, -23):BRICK
(17, 4, -23):BRICK
(18, 3, -23):BRICK
(18, 4, -23):BRICK
(16, 0, -17):BRICK
(16, 1, -17):BRICK
(17, 0, -17):BRICK
(17, 1, -17):BRICK
(18, 0, -17):BRICK
(18, 1, -17):BRICK
(19, 2, -17):BRICK
(19, 3, -17):BRICK
(19, 4, -17):BRICK
(16, 0, -16):BRICK
(16, 1, -16):BRICK
(17, 0, -16):BRICK
(17, 1, -16):BRICK
(18, 0, -16):BRICK
(18, 1, -16):BRICK
(19, 2, -16):BRICK
(19, 3, -16):BRICK
(19, 4, -16):BRICK
(19, 2, -15):BRICK
(19, 3, -15):BRICK
(19, 4, -15):BRICK
(19, 2, -14):BRICK
(19, 3, -14):BRICK
(19, 4, -14):BRICK
(12, 2, -11):BRICK
(12, 3, -11):BRICK
(12, 4, -11):BRICK
(13, 2, -11):BRICK
(13, 3, -11):BRICK
(13, 4, -11):BRICK
(14, 2, -11):BRICK
(14, 3, -11):BRICK
(14, 4, -11):BRICK
(15, 2, -11):BRICK
(15, 3, -11):BRICK
(15, 4, -11):BRICK
(16, 2, -11):BRICK
(16, 3, -11):BRICK
(16, 4, -11):BRICK
(17, 2, -11):BRICK
(17, 3, -11):BRICK
(17, 4, -11):BRICK
(18, 2, -11):BRICK
(18, 3, -11):BRICK
(18, 4, -11):BRICK
(19, 2, -11):BRICK
(19, 3, -11):BRICK
(19, 4, -11):BRICK
(19, 2, -13):BRICK
(19, 3, -13):BRICK
(19, 4, -13):BRICK
(19, 2, -12):BRICK
(19, 3, -12):BRICK
(19, 4, -12):BRICK
(18, 1, -15):BRICK
(17, 1, -15):BRICK
(18, 1, -14):BRICK
(17, 1, -14):BRICK
(16, 1, -13):BRICK
(17, 1, -13):BRICK
(18, 1, -13):BRICK
(18, 1, -12):BRICK
(17, 1, -12):BRICK
(16, 1, -12):BRICK
(14, -1, -17):BRICK
(14, 0, -17):BRICK
(14, 1, -17):BRICK
(14, -1, -16):BRICK
(14, 0, -16):BRICK
(14, 1, -16):BRICK
(14, 1, -15):BRICK
(14, 1, -14):BRICK
(14, -1, -12):BRICK
(14, 0, -12):BRICK
(14, 1, -12):BRICK
(14, -1, -13):BRICK
(14, 0, -13):BRICK
(14, 1, -13):BRICK
(11, 2, -11):BRICK
(11, 3, -11):BRICK
(11, 4, -11):BRICK
(10, 2, -11):BRICK
(10, 3, -11):BRICK
(10, 4, -11):BRICK
(10, 2, -14):BRICK
(10, 3, -14):BRICK
(10, 4, -14):BRICK
(10, 2, -17):BRICK
(10, 3, -17):BRICK
(10, 4, -17):BRICK
(10, 2, -20):BRICK
(10, 3, -20):BRICK
(10, 4, -20):BRICK
(11, 2, -23):BRICK
(11, 3, -23):BRICK
(11, 4, -23):BRICK
(10, 2, -23):BRICK
(10, 3, -23):BRICK
(10, 4, -23):BRICK
(10, 3, -16):BRICK
(10, 4, -16):BRICK
(10, 5, -16):BRICK
(10, 3, -15):BRICK
(10, 4, -15):BRICK
(10, 5, -15):BRICK
(10, 3, -19):BRICK
(10, 4, -19):BRICK
(10, 5, -19):BRICK
(10, 3, -18):BRICK
(10, 4, -18):BRICK
(10, 5, -18):BRICK
(10, 3, -12):BRICK
(10, 4, -12):BRICK
(10, 5, -12):BRICK
(10, 3, -13):BRICK
(10, 4, -13):BRICK
(10, 5, -13):BRICK
(10, 3, -22):BRICK
(10, 4, -22):BRICK
(10, 5, -22):BRICK
(10, 3, -21):BRICK
(10, 4, -21):BRICK
(10, 5, -21):BRICK
(-12, -1, -21):BRICK
(-12, 0, -21):BRICK
(-12, 1, -21):BRICK
(-13, -1, -21):BRICK
(-13, 0, -21):BRICK
(-13, 1, -21):BRICK
(-14, -1, -21):BRICK
(-14, 0, -21):BRICK
(-14, 1, -21):BRICK
(-15, -1, -21):BRICK
(-15, 0, -21):BRICK
(-15, 1, -21):BRICK
(-16, -1, -21):BRICK
(-16, 0, -21):BRICK
(-16, 1, -21):BRICK
(-17, -1, -21):BRICK
(-17, 0, -21):BRICK
(-17, 1, -21):BRICK
(-18, -1, -21):BRICK
(-18, 0, -21):BRICK
(-18, 1, -21):BRICK
(-19, -1, -20):BRICK
(-19, 0, -20):BRICK
(-19, 1, -20):BRICK
(-12, -1, -10):BRICK
(-12, 0, -10):BRICK
(-12, 1, -10):BRICK
(-13, -1, -10):BRICK
(-13, 0, -10):BRICK
(-13, 1, -10):BRICK
(-14, -1, -10):BRICK
(-14, 0, -10):BRICK
(-14, 1, -10):BRICK
(-15, -1, -10):BRICK
(-15, 0, -10):BRICK
(-15, 1, -10):BRICK
(-17, -1, -10):BRICK
(-17, 0, -10):BRICK
(-17, 1, -10):BRICK
(-19, -1, -19):BRICK
(-19, 0, -19):BRICK
(-19, 1, -19):BRICK
(-19, -1, -18):BRICK
(-19, 0, -18):BRICK
(-19, 1, -18):BRICK
(-19, -1, -17):BRICK
(-19, 0, -17):BRICK
(-19, 1, -17):BRICK
(-19, -1, -16):BRICK
(-19, 0, -16):BRICK
(-19, 1, -16):BRICK
(-19, -1, -15):BRICK
(-19, 0, -15):BRICK
(-19, 1, -15):BRICK
(-19, -1, -13):BRICK
(-19, 0, -13):BRICK
(-19, 1, -13):BRICK
(-19, -1, -12):BRICK
(-19, 0, -12):BRICK
(-19, 1, -12):BRICK
(-19, -1, -11):BRICK
(-19, 0, -11):BRICK
(-19, 1, -11):BRICK
(-18, -1, -10):BRICK
(-18, 0, -10):BRICK
(-18, 1, -10):BRICK
(-16, -1, -10):BRICK
(-16, 0, -10):BRICK
(-16, 1, -10):BRICK
(-19, -1, -14):BRICK
(-19, 0, -14):BRICK
(-19, 1, -14):BRICK
(-18, -1, -15):BRICK
(-18, 0, -15):BRICK
(-18, -1, -16):BRICK
(-18, 0, -16):BRICK
(-17, -1, -15):BRICK
(-17, 0, -15):BRICK
(-17, -1, -16):BRICK
(-17, 0, -16):BRICK
(-16, -1, -16):BRICK
(-16, -1, -15):BRICK
(-15, -1, -15):BRICK
(-15, -1, -16):BRICK
(-18, -1, -14):BRICK
(-18, 0, -14):BRICK
(-18, 1, -14):BRICK
(-18, -1, -13):BRICK
(-18, 0, -13):BRICK
(-18, 1, -13):BRICK
(-18, -1, -12):BRICK
(-18, 0, -12):BRICK
(-18, 1, -12):BRICK
(-18, -1, -11):BRICK
(-18, 0, -11):BRICK
(-18, 1, -11):BRICK
(-17, -1, -11):BRICK
(-17, 0, -11):BRICK
(-17, 1, -11):BRICK
(-16, -1, -11):BRICK
(-16, 0, -11):BRICK
(-16, 1, -11):BRICK
(-15, -1, -11):BRICK
(-15, 0, -11):BRICK
(-15, 1, -11):BRICK
(-12, -1, -11):BRICK
(-12, 0, -11):BRICK
(-12, 1, -11):BRICK
(-13, -1, -11):BRICK
(-13, 0, -11):BRICK
(-13, 1, -11):BRICK
(-14, -1, -11):BRICK
(-14, 0, -11):BRICK
(-14, 1, -11):BRICK
(-12, 1, -12):BRICK
(-13, 1, -12):BRICK
(-17, 1, -12):BRICK
(-16, 1, -12):BRICK
(-15, 1, -12):BRICK
(-14, 1, -12):BRICK
(-17, 1, -13):BRICK
(-11, 2, -9):BRICK
(-11, 3, -9):BRICK
(-11, 4, -9):BRICK
(-12, 2, -9):BRICK
(-12, 3, -9):BRICK
(-12, 4, -9):BRICK
(-13, 2, -9):BRICK
(-13, 3, -9):BRICK
(-13, 4, -9):BRICK
(-14, 2, -9):BRICK
(-14, 3, -9):BRICK
(-14, 4, -9):BRICK
(-15, 2, -9):BRICK
(-15, 3, -9):BRICK
(-15, 4, -9):BRICK
(-16, 2, -9):BRICK
(-16, 3, -9):BRICK
(-16, 4, -9):BRICK
(-17, 2, -9):BRICK
(-17, 3, -9):BRICK
(-17, 4, -9):BRICK
(-18, 2, -9):BRICK
(-18, 3, -9):BRICK
(-18, 4, -9):BRICK
(-19, 2, -10):BRICK
(-19, 3, -10):BRICK
(-19, 4, -10):BRICK
(-20, 2, -11):BRICK
(-20, 3, -11):BRICK
(-20, 4, -11):BRICK
(-20, 2, -12):BRICK
(-20, 3, -12):BRICK
(-20, 4, -12):BRICK
(-20, 2, -13):BRICK
(-20, 3, -13):BRICK
(-20, 4, -13):BRICK
(-18, -1, -17):BRICK
(-18, 0, -17):BRICK
(-18, 1, -17):BRICK
(-18, -1, -18):BRICK
(-18, 0, -18):BRICK
(-18, 1, -18):BRICK
(-17, 1, -18):BRICK
(-18, -1, -19):BRICK
(-18, 0, -19):BRICK
(-18, 1, -19):BRICK
(-17, 1, -19):BRICK
(-18, -1, -20):BRICK
(-18, 0, -20):BRICK
(-18, 1, -20):BRICK
(-17, 1, -20):BRICK
(-16, 1, -20):BRICK
(-15, 1, -20):BRICK
(-14, 1, -20):BRICK
(-13, 1, -20):BRICK
(-12, 1, -20):BRICK
(-11, 2, -22):BRICK
(-11, 3, -22):BRICK
(-11, 4, -22):BRICK
(-12, 2, -22):BRICK
(-12, 3, -22):BRICK
(-12, 4, -22):BRICK
(-13, 2, -22):BRICK
(-13, 3, -22):BRICK
(-13, 4, -22):BRICK
(-14, 2, -22):BRICK
(-14, 3, -22):BRICK
(-14, 4, -22):BRICK
(-15, 2, -22):BRICK
(-15, 3, -22):BRICK
(-15, 4, -22):BRICK
(-20, 2, -14):BRICK
(-20, 2, -17):BRICK
(-20, 2, -18):BRICK
(-20, 3, -18):BRICK
(-20, 4, -18):BRICK
(-20, 2, -19):BRICK
(-20, 3, -19):BRICK
(-20, 4, -19):BRICK
(-20, 2, -20):BRICK
(-20, 3, -20):BRICK
(-20, 4, -20):BRICK
(-19, 2, -21):BRICK
(-19, 3, -21):BRICK
(-19, 4, -21):BRICK
(-18, 2, -22):BRICK
(-18, 3, -22):BRICK
(-18, 4, -22):BRICK
(-17, 2, -22):BRICK
(-17, 3, -22):BRICK
(-17, 4, -22):BRICK
(-16, 2, -22):BRICK
(-16, 3, -22):BRICK
(-16, 4, -22):BRICK
(-17, -1, -17):BRICK
(-16, -1, -17):BRICK
(-17, -1, -14):BRICK
(-16, -1, -14):BRICK
(-17, 0, -17):BRICK
(-17, 1, -17):BRICK
(-17, 2, -17):BRICK
(-17, 0, -14):BRICK
(-17, 1, -14):BRICK
(-17, 2, -14):BRICK
(-16, 1, -19):BRICK
(-16, 2, -19):BRICK
(-16, 2, -12):BRICK
(-12, 2, -12):BRICK
